Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000028526600,สินธุ์ชัยไอซ์ กาฬสินธุ์,,,,,NonActive,,QEsan,,,,,,,อ.กมลาไสย,กาฬสินธุ์,,,,,0455563000962,,20211118T11:28:27+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,443 หมู่ที่ 2 ต.หนองแปน,,
3015191000027896300,น้ำแข็งซันนี่ 2010,,,,,NonActive,,QEsan,043-511889,,,,,,อ.น้ำพอง,ขอนแก่น,,,,,0403553002472,,20211030T11:43:01+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"Account ซ้ำกัน, โอนออก",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,98 ม.6 ต.น้ำพอง,,
3015191000027896000,นางสาวพุทธชาติ ชอบขาย,,,,,New Accounts,,QEsan,,,,,,,,ร้อยเอ็ด,,,,,3459900190719,,20211030T11:17:12+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 35k, กลุ่มคุณออย",1.2.2.1 โรงน้ำแข็ง,,10795,238/1 ถ.ปัทมานนท์ ต.ในเมือง อ.เมืองร้อยเอ็ด,,
3015191000027737000,สัญญาไพศาล,,,,,New Accounts,,QEsan,,,0623986340,,,,อ.เมืองร้อยเอ็ด,ร้อยเอ็ด,,,,,0453531000116,4000000,20211026T09:19:00+07:00,20251216T11:17:13+07:00,20251217T15:15:18+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,1 ถนนเทวาภิบาล ต.ในเมือง,,
3015191000027623400,ซันนี่ร้อยเอ็ด สาขา 00001,,0338AB,,,NonActive,,QEsan,043-572100,,,,,,อ.อาจสามารถ,ร้อยเอ็ด,,,,,0455548000175,,20211022T16:48:22+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 35k, กลุ่มคุณออย",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,20 หมู่ 16 ต.อาจสามารถ,,
3015191000027444000,วารีเทพ วารินชำราบ,,,,,New Accounts,,QEsan,,,,,,,อ.วารินชำราบ,อุบลราชธานี,,,,,0345558000250,2000000,20211019T11:31:28+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 35k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,249 หมู่ที่ 4 ต.คำน้ำแซบ,,
3015191000027358000,บุณฑริกวารีเทพ,,,,,New Accounts,,QEsan,,,,,,,อ.บุณฑริก,อุบลราชธานี,,,,,0343559001452,3000000,20211015T20:51:18+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,61 หมู่ที่ 14 ต.บัวงาม,,
3015191000027336000,โรงน้ำแข็งวานิชยิ่งเจริญ,,,,,New Accounts,,QEsan,,,,,,,อ.ประโคนชัย,บุรีรัมย์,,,,,0313562000241,,20211015T08:38:24+07:00,20251216T11:17:13+07:00,20251226T11:42:09+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,45 หมู่ที่ 6 ต.จรเข้มาก,,
3015191000026160000,กิมชุนไอซ์ เสนางคนิคม,,,,,New Accounts,,QEsan,,,0637722626,,,,อ.เสนางคนิคม,อำนาจเจริญ,,,,,0485559000082,5000000,20210914T14:44:32+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียกิตติ",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,130 หมู่ที่ 5 ต.ไร่สีสุก,,
3015191000026057000,กิมชุนไอซ์ พรรณานิคม,,,,,NonActive,,QEsan,,,,,,,อ.เมืองสกลนคร,สกลนคร,,,,,0485563000610,5000000,20210911T17:53:07+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียกิตติ",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,500 หมู่ที่ 10 ต.ขมิ้น,,
