Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000069673000,สันต์ ฟาร์ม สุพรรณบุรี,,,,,,,QWest,,,,,,,,สุพรรณบุรี,,,,,,,20241011T13:33:00+07:00,20241011T13:33:00+07:00,20251210T19:49:00+07:00,ชินดนัย ศรีธรรม,,1.1.2.1 วัตถุดิบอาหารสัตว์ ข้าวโพด/ซังข้าวโพด,,,สุพรรณบุรี,,
3015191000069587500,มหาสารคาม เบเวอเรช,,,,,,,QWest,043-748999,,,,,,,มหาสารคาม,,,,,0445556000502,700000000,20241009T11:35:30+07:00,20241009T15:16:06+07:00,20250303T14:35:30+07:00,ชินดนัย ศรีธรรม,,2.7 Non Food อื่นๆ,บริษัทจำกัด,,111 หมู่ที่ 18 ต.นาโพธิ์ อ.กุดรัง จ.มหาสารคาม,,
3015191000067636000,ไผ่หูช้างอบพืชผล,,,,,,,QWest,,,,,,,,นครปฐม,,,,,,,20240827T11:22:40+07:00,20250611T16:04:21+07:00,20251128T16:37:01+07:00,ชินดนัย ศรีธรรม,,1.3 Feed&Food อื่นๆ,,,5 บางเลน บางเลน นครปฐม 73130,,
3015191000067119000,เอสที โกลบอล กรีน,,,,,,,QWest,,,0815151397,,https://www.stglobalgreen.com/,,,กาญจนบุรี,,,,,0125553010895,4000000,20240819T16:41:59+07:00,20240919T14:28:42+07:00,20251222T10:59:29+07:00,ชินดนัย ศรีธรรม,,2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,,90 หมู่ที่ 9 ซอยเทศบาล 13 ต.ดอนตาเพชร อ.พนมทวน จ.กาญจนบุรี,,
3015191000066316000,ก.เฮ้งอุ้ยง้วน แบะแซ,,,,,,,QWest,,,,,,,,นครปฐม,,,,,0733545000013,1000000,20240724T17:16:23+07:00,20251030T14:29:44+07:00,20251030T14:29:44+07:00,ชินดนัย ศรีธรรม,ไม่มีการใช้งาน PPW,แบะแซและแป้งข้าว,ห้างหุ้นส่วนจำกัด,,105 หมู่ที่ 3 ต.สามง่าม อ.ดอนตูม จ.นครปฐม 73150,,
3015191000066186000,จุฬาวุฒิ ทองคำ,,,,,,,QWest,,,,,,,,นครปฐม,,,,,,,20240723T15:48:02+07:00,20240809T10:46:26+07:00,20251030T14:48:56+07:00,ชินดนัย ศรีธรรม,กระสอบเกรด B,1.1.1.3 อาหารสัตว์เลี้ยง/ผลิตภัณฑ์สัตว์เลี้ยง Petfood&Product,นามบุคคล,,,,
3015191000066070000,นายธนนท์ อุทัยไพศาลวงศ์,,0673AA,,,Active,,QWest,,,,,,,,ราชบุรี,,,,,3110102196030,,20240722T12:19:00+07:00,20240722T17:03:46+07:00,20241108T09:38:23+07:00,ชินดนัย ศรีธรรม,,1.1.2.1 วัตถุดิบอาหารสัตว์ ข้าวโพด/ซังข้าวโพด,นามบุคคล,,,,
3015191000066070000,ไทยแสงทองค้าข้าว,,,,,New Accounts,,QWest,,,0816979220,,,,,นครปฐม,,,,,0735553003061,,20240722T12:19:00+07:00,20250714T14:15:47+07:00,20251006T11:41:19+07:00,ชินดนัย ศรีธรรม,ไม่มีการใช้งาน PPW,1.2.1.2 ข้าวส่งออก,บริษัทจำกัด,,,,
3015191000066070000,นางสาวศศิประภา มรรคดี,,0671AB,,,Active,,QWest,,,,,,,,เพชรบุรี,,,,,1340700406544,,20240722T12:19:00+07:00,20251106T11:20:37+07:00,20251106T11:20:37+07:00,ชินดนัย ศรีธรรม,Account ซ้ำกัน,1.1.1.3 อาหารสัตว์เลี้ยง/ผลิตภัณฑ์สัตว์เลี้ยง Petfood&Product,นามบุคคล,,,,
3015191000066070000,นายบรรพกาฬ ปิยกิจการ,,0674AA,,,Active,,QWest,,,,,,,,กาญจนบุรี,,,,,1719900096128,,20240722T12:19:00+07:00,20250729T11:08:55+07:00,20250729T11:08:55+07:00,ชินดนัย ศรีธรรม,Account ซ้ำกัน,1.2.2.1 โรงน้ำแข็ง,นามบุคคล,,,,
